id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1623430775159783424,1623430775159783424,2023-02-08 21:17:13 UTC,2023-02-08,21:17:13,+0000,974737368497508354,0xraw,0xRaw,,بكرا اخر يوم نقدر نقابلكم فيه ، خلونا نشوفكم بكرا🙏🏻  اللي عنده استفسار او سؤال حياه الله  #LEAP #LEAP23,ar,[],[],[],0,0,0,"['leap', 'leap23']",[],https://twitter.com/0xRaw/status/1623430775159783424,False,,0,,,,,,,,[],,,,
1623430622378065921,1623430622378065921,2023-02-08 21:16:36 UTC,2023-02-08,21:16:36,+0000,1022448501010178048,emdhasa,emdha Trust Service Provider,,Day Three | #LEAP23 It was wonderful meeting everyone and discussing with you all about our #DigitalSignature and how it can help youtowards #DigitalTransformation   Last chance to meet our team tomorrow! Find us at Cisco stand - H2 C50 &amp; Huawei Stand H1-B50  https://t.co/7fXzDLfxKN,en,[],[],"['https://pbs.twimg.com/media/FoeU0eyWAAMp7wJ.jpg', 'https://pbs.twimg.com/media/FoeU0f1XoAAsGbJ.jpg', 'https://pbs.twimg.com/media/FoeU1LpX0AQEd9f.jpg', 'https://pbs.twimg.com/media/FoeU1MAWYAEXCsH.jpg']",0,0,0,"['leap23', 'digitalsignature', 'digitaltransformation']",[],https://twitter.com/emdhaSA/status/1623430622378065921,False,,1,https://pbs.twimg.com/media/FoeU0eyWAAMp7wJ.jpg,,,,,,,[],,,,
1623430054364545032,1623430054364545032,2023-02-08 21:14:21 UTC,2023-02-08,21:14:21,+0000,1230616489,aw_1915,𝙰𝚆𝙰𝙳,,@NASEER_OB  #LEAP23  تشرف بمقابلة الاستاذ ناصر العودة 😍  https://t.co/KzM6KUuiFi,ar,[],[],['https://pbs.twimg.com/media/FoeVBodXoAIiq6U.jpg'],0,0,0,['leap23'],[],https://twitter.com/Aw_1915/status/1623430054364545032,False,,1,https://pbs.twimg.com/media/FoeVBodXoAIiq6U.jpg,,,,,,,[],,,,
1623429537815207936,1623429537815207936,2023-02-08 21:12:18 UTC,2023-02-08,21:12:18,+0000,1401557529856032775,mb_waheeb,Mohamed,,#LEAP23  https://t.co/pfHxohsQpt,qme,[],[],"['https://pbs.twimg.com/media/FoeUjZrXEAAjIxU.jpg', 'https://pbs.twimg.com/media/FoeUjZpX0AEUvge.jpg', 'https://pbs.twimg.com/media/FoeUjZpWcAIijvb.jpg', 'https://pbs.twimg.com/media/FoeUjZoXwAMv336.jpg']",0,0,1,['leap23'],[],https://twitter.com/MB_Waheeb/status/1623429537815207936,False,,1,https://pbs.twimg.com/media/FoeUjZrXEAAjIxU.jpg,,,,,,,[],,,,
1623429346550489095,1623429346550489095,2023-02-08 21:11:32 UTC,2023-02-08,21:11:32,+0000,2227226398,wejdan_3,وجدان القحطاني,,I had the pleasure of attending #LEAP23  https://t.co/EMv4WtX87z,en,[],[],"['https://pbs.twimg.com/media/FoeUYSaWcAYWAR_.jpg', 'https://pbs.twimg.com/media/FoeUYScXwAMJ7NZ.jpg']",0,0,0,['leap23'],[],https://twitter.com/wejdan_3/status/1623429346550489095,False,,1,https://pbs.twimg.com/media/FoeUYSaWcAYWAR_.jpg,,,,,,,[],,,,
1623428742532964354,1623428742532964354,2023-02-08 21:09:08 UTC,2023-02-08,21:09:08,+0000,1056105144906080256,abu_ammar43,▪️﮼أبوعمار،آل،منصور ✍️,,#تكنولوجيا   هل سبق وشفت روبوتات يرقصون مع بعض وبإحترافية ؟  في مؤتمر #leap23  راح  تشوف اشياء لأول مرة بتشوفها بحياتك وتقنيات ماكنا نشوفها الا بأفلام الخيال ومين يتوقع انه الانسان راح يصل الى هذا التطور الملحوظ 💫 #السعوديه  https://t.co/n08wdMclmZ,ar,[],[],[],0,0,0,"['تكنولوجيا', 'leap23', 'السعوديه']",[],https://twitter.com/Abu_Ammar43/status/1623428742532964354,False,,1,https://pbs.twimg.com/amplify_video_thumb/1623428653198585857/img/JpEtx3g5J5zvK9YG.jpg,,,,,,,[],,,,
1623428652636467201,1623428652636467201,2023-02-08 21:08:47 UTC,2023-02-08,21:08:47,+0000,1038819680780201984,kfuieee,IEEE KFU,,"From IEEE KFU visit to #Leap23  The global tech event in Riyadh✨  Technology, IoT, artificial intelligence, networks.. And even more interesting topics were there😍  Such a great experience 🤩🤩  https://t.co/MrhRjdxV9T",en,[],[],"['https://pbs.twimg.com/media/FoeTv3aX0AQv-U7.jpg', 'https://pbs.twimg.com/media/FoeTv3ZXsAE9dy1.jpg', 'https://pbs.twimg.com/media/FoeTv3ZWcAANW6n.jpg', 'https://pbs.twimg.com/media/FoeTv3bWcAM4a6u.jpg']",0,3,7,['leap23'],[],https://twitter.com/KFUIEEE/status/1623428652636467201,False,,1,https://pbs.twimg.com/media/FoeTv3aX0AQv-U7.jpg,,,,,,,[],,,,
1623427514965139458,1623427514965139458,2023-02-08 21:04:16 UTC,2023-02-08,21:04:16,+0000,3006317946,ibraacdabra,ابراهيم بن محمد,,"I just registered for my visitor's pass to attend #LEAP23 on 6-9 February 2023 at Riyadh Front Expo Centre, Saudi Arabia. Join me!  https://t.co/DKc84NIQ2F",en,[],['https://app.ingo.me/q/bk8xd'],[],0,0,0,['leap23'],[],https://twitter.com/ibraacdabra/status/1623427514965139458,False,,0,,,,,,,,[],,,,
1623427402587115522,1623427402587115522,2023-02-08 21:03:49 UTC,2023-02-08,21:03:49,+0000,734226084,turkialmuthib,تركي الشمراني | Turki Alshamrani,,مذهل ماشاهدته اليوم لقد زرت المستقبل، غداً اخر ايام المعرض لايفوتكم #LEAP #LEAP23  https://t.co/Jbc86NcgeA,ar,[],[],"['https://pbs.twimg.com/media/FoeSm1lWIAYvbTh.jpg', 'https://pbs.twimg.com/media/FoeSm1qXEAAX1UW.jpg', 'https://pbs.twimg.com/media/FoeSm1rXgAMH6FH.jpg', 'https://pbs.twimg.com/media/FoeSm1wWYAQrWc5.jpg']",0,0,0,"['leap', 'leap23']",[],https://twitter.com/TurkiAlmuthib/status/1623427402587115522,False,,1,https://pbs.twimg.com/media/FoeSm1lWIAYvbTh.jpg,,,,,,,[],,,,
1623426907306971136,1623426907306971136,2023-02-08 21:01:51 UTC,2023-02-08,21:01:51,+0000,1234918615671017472,bim_ventures,منجم تطوير الأعمال | BIM Ventures,,ختمنا يومنا الثالث في #ليب23 بنقاشات تقنية ملهمة! ننتظركم غداً في اليوم الأخير! #BIMVentures #leap23 @LEAPandInnovate  https://t.co/E6tiPKM8ic,ar,"[{'screen_name': 'leapandinnovate', 'name': 'leap', 'id': '1246772623247319040'}]",[],[],1,0,1,"['ليب23', 'bimventures', 'leap23']",[],https://twitter.com/BIM_ventures/status/1623426907306971136,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1623401190326169600/pu/img/sjKJSYEzFsTle5zD.jpg,,,,,,,[],,,,
